"ParticipantID","Stage","set","wIndex","Achiever","FreeSpirit","TransformOfChallenge","TransformOfBorendom","Group","AbsError"
1,"BL",1,1,88,66,76,62,"E",0.938
1,"BL",1,2,88,66,76,62,"E",0.8973
1,"BL",1,3,88,66,76,62,"E",0.9706
1,"BL",1,4,88,66,76,62,"E",0.8631
1,"BL",1,5,88,66,76,62,"E",0.9697
1,"BL",1,6,88,66,76,62,"E",1.1322
1,"BL",1,7,88,66,76,62,"E",0.8714
1,"BL",1,8,88,66,76,62,"E",0.8145
1,"BL",1,9,88,66,76,62,"E",0.8815
1,"BL",1,10,88,66,76,62,"E",0.6967
1,"BL",1,11,88,66,76,62,"E",0.9492
1,"BL",1,12,88,66,76,62,"E",1.0077
1,"BL",1,13,88,66,76,62,"E",0.8996
1,"BL",1,14,88,66,76,62,"E",0.9486
1,"BL",1,15,88,66,76,62,"E",0.9195
1,"BL",1,16,88,66,76,62,"E",0.7976
1,"BL",1,17,88,66,76,62,"E",0.9042
1,"BL",1,18,88,66,76,62,"E",0.965
1,"BL",1,19,88,66,76,62,"E",0.6604
1,"BL",1,20,88,66,76,62,"E",0.7259
1,"BL",2,1,88,66,76,62,"E",0.8327
1,"BL",2,2,88,66,76,62,"E",0.7512
1,"BL",2,3,88,66,76,62,"E",0.8273
1,"BL",2,4,88,66,76,62,"E",0.7695
1,"BL",2,5,88,66,76,62,"E",0.8774
1,"BL",2,6,88,66,76,62,"E",0.9433
1,"BL",2,7,88,66,76,62,"E",0.7082
1,"BL",2,8,88,66,76,62,"E",0.7947
1,"BL",2,9,88,66,76,62,"E",0.8039
1,"BL",2,10,88,66,76,62,"E",0.8105
1,"BL",2,11,88,66,76,62,"E",0.8539
1,"BL",2,12,88,66,76,62,"E",0.8104
1,"BL",2,13,88,66,76,62,"E",0.6841
1,"BL",2,14,88,66,76,62,"E",0.7607
1,"BL",2,15,88,66,76,62,"E",0.9047
1,"BL",2,16,88,66,76,62,"E",0.7056
1,"BL",2,17,88,66,76,62,"E",0.766
1,"BL",2,18,88,66,76,62,"E",0.8138
1,"BL",2,19,88,66,76,62,"E",0.7479
1,"BL",2,20,88,66,76,62,"E",0.6822
1,"STR",1,1,88,66,76,62,"E",0.6094
1,"STR",1,2,88,66,76,62,"E",0.6004
1,"STR",1,3,88,66,76,62,"E",0.7245
1,"STR",1,4,88,66,76,62,"E",0.6355
1,"STR",1,5,88,66,76,62,"E",0.6693
1,"STR",1,6,88,66,76,62,"E",0.6835
1,"STR",1,7,88,66,76,62,"E",0.5685
1,"STR",1,8,88,66,76,62,"E",0.5596
1,"STR",1,9,88,66,76,62,"E",0.5342
1,"STR",1,10,88,66,76,62,"E",0.4797
1,"STR",1,11,88,66,76,62,"E",0.5728
1,"STR",1,12,88,66,76,62,"E",0.6318
1,"STR",1,13,88,66,76,62,"E",0.5464
1,"STR",1,14,88,66,76,62,"E",0.5783
1,"STR",1,15,88,66,76,62,"E",0.5722
1,"STR",1,16,88,66,76,62,"E",0.5366
1,"STR",1,17,88,66,76,62,"E",0.5609
1,"STR",1,18,88,66,76,62,"E",0.5943
1,"STR",1,19,88,66,76,62,"E",0.5294
1,"STR",1,20,88,66,76,62,"E",0.4839
1,"STR",2,1,88,66,76,62,"E",0.4929
1,"STR",2,2,88,66,76,62,"E",0.4982
1,"STR",2,3,88,66,76,62,"E",0.5289
1,"STR",2,4,88,66,76,62,"E",0.5624
1,"STR",2,5,88,66,76,62,"E",0.5311
1,"STR",2,6,88,66,76,62,"E",0.5108
1,"STR",2,7,88,66,76,62,"E",0.4719
1,"STR",2,8,88,66,76,62,"E",0.5107
1,"STR",2,9,88,66,76,62,"E",0.4545
1,"STR",2,10,88,66,76,62,"E",0.4712
1,"STR",2,11,88,66,76,62,"E",0.5122
1,"STR",2,12,88,66,76,62,"E",0.5447
1,"STR",2,13,88,66,76,62,"E",0.5443
1,"STR",2,14,88,66,76,62,"E",0.546
1,"STR",2,15,88,66,76,62,"E",0.4616
1,"STR",2,16,88,66,76,62,"E",0.4398
1,"STR",2,17,88,66,76,62,"E",0.4047
1,"STR",2,18,88,66,76,62,"E",0.4422
1,"STR",2,19,88,66,76,62,"E",0.4338
1,"STR",2,20,88,66,76,62,"E",0.4727
1,"LTR",1,1,88,66,76,62,"E",0.6704
1,"LTR",1,2,88,66,76,62,"E",0.6428
1,"LTR",1,3,88,66,76,62,"E",0.567
1,"LTR",1,4,88,66,76,62,"E",0.7517
1,"LTR",1,5,88,66,76,62,"E",0.7525
1,"LTR",1,6,88,66,76,62,"E",0.7243
1,"LTR",1,7,88,66,76,62,"E",0.8411
1,"LTR",1,8,88,66,76,62,"E",0.7321
1,"LTR",1,9,88,66,76,62,"E",0.6497
1,"LTR",1,10,88,66,76,62,"E",0.7428
1,"LTR",1,11,88,66,76,62,"E",0.5376
1,"LTR",1,12,88,66,76,62,"E",0.5657
1,"LTR",1,13,88,66,76,62,"E",0.6383
1,"LTR",1,14,88,66,76,62,"E",0.6437
1,"LTR",1,15,88,66,76,62,"E",0.637
1,"LTR",1,16,88,66,76,62,"E",0.6684
1,"LTR",1,17,88,66,76,62,"E",0.5847
1,"LTR",1,18,88,66,76,62,"E",0.6113
1,"LTR",1,19,88,66,76,62,"E",0.5504
1,"LTR",1,20,88,66,76,62,"E",0.7076
1,"LTR",2,1,88,66,76,62,"E",0.6165
1,"LTR",2,2,88,66,76,62,"E",0.646
1,"LTR",2,3,88,66,76,62,"E",0.5909
1,"LTR",2,4,88,66,76,62,"E",0.5973
1,"LTR",2,5,88,66,76,62,"E",0.5067
1,"LTR",2,6,88,66,76,62,"E",0.596
1,"LTR",2,7,88,66,76,62,"E",0.5923
1,"LTR",2,8,88,66,76,62,"E",0.621
1,"LTR",2,9,88,66,76,62,"E",0.5435
1,"LTR",2,10,88,66,76,62,"E",0.5668
1,"LTR",2,11,88,66,76,62,"E",0.4769
1,"LTR",2,12,88,66,76,62,"E",0.5208
1,"LTR",2,13,88,66,76,62,"E",0.5675
1,"LTR",2,14,88,66,76,62,"E",0.5455
1,"LTR",2,15,88,66,76,62,"E",0.5669
1,"LTR",2,16,88,66,76,62,"E",0.5061
1,"LTR",2,17,88,66,76,62,"E",0.5244
1,"LTR",2,18,88,66,76,62,"E",0.5031
1,"LTR",2,19,88,66,76,62,"E",0.5729
1,"LTR",2,20,88,66,76,62,"E",0.5263
2,"BL",1,1,98,70,100,43,"C",0.9399
2,"BL",1,2,98,70,100,43,"C",0.8843
2,"BL",1,3,98,70,100,43,"C",0.9142
2,"BL",1,4,98,70,100,43,"C",0.9954
